pool_ID;genus;subgenus;species;stage;sex;N_pool;date_collected;location;results_YFV
C342;Haemagogus;Haemagogus;janthinomys;adult;female ;2;10/06/2021;DUCKE;negative 
C379;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C382;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C383;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C385;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C386;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C389;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C390;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C391;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C393;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;17/06/2021;DUCKE;negative 
C395;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C396;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C397;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C398;Haemagogus;Haemagogus;janthinomys;adult;female ;2;17/06/2021;DUCKE;negative 
C400;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C403;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C406;Haemagogus;Haemagogus;janthinomys;adult;female ;4;17/06/2021;DUCKE;negative 
C409;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C410;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/06/2021;DUCKE;negative 
C420;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2021;DUCKE;negative 
C426;Haemagogus;Haemagogus;janthinomys;adult;female ;2;21/06/2021;DUCKE;negative 
C428;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;21/06/2021;DUCKE;negative 
C429;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2021;DUCKE;negative 
C430;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;21/06/2021;DUCKE;negative 
C431;Haemagogus;Haemagogus;baresi;adult;female ;1;21/06/2021;DUCKE;negative 
C435;Haemagogus;Haemagogus;janthinomys;adult;female ;2;21/06/2021;DUCKE;negative 
C443;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2021;DUCKE;negative 
C447;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2021;DUCKE;negative 
C450;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2021;DUCKE;negative 
C453;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/06/2021;DUCKE;negative 
C459;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;18/06/2021;DUCKE;negative 
C461;Haemagogus;Haemagogus;janthinomys;adult;female ;3;18/06/2021;DUCKE;negative 
C463;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/06/2021;DUCKE;negative 
C466;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;18/06/2021;DUCKE;negative 
C467;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C469;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C472;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;18/06/2021;DUCKE;negative 
C474;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/06/2021;DUCKE;negative 
C476;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;18/06/2021;DUCKE;negative 
C481;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C485;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/06/2021;DUCKE;negative 
C487;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C489;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/06/2021;DUCKE;negative 
C490;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C498;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/06/2021;DUCKE;negative 
C501;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C503;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;18/06/2021;DUCKE;negative 
C507;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/06/2021;DUCKE;negative 
C520;Haemagogus;Haemagogus;janthinomys;adult;female ;1;24/06/2021;DUCKE;negative 
C525;Haemagogus;Haemagogus;janthinomys;adult;female ;1;24/06/2021;DUCKE;negative 
C528;Haemagogus;Haemagogus;janthinomys;adult;female ;1;24/06/2021;DUCKE;negative 
C532;Haemagogus;Haemagogus;janthinomys;adult;female ;1;24/06/2021;DUCKE;negative 
C540;Haemagogus;Haemagogus;janthinomys;adult;female ;3;24/06/2021;DUCKE;negative 
C563;Haemagogus;Haemagogus;janthinomys;adult;female ;1;02/07/2021;DUCKE;negative 
C578;Haemagogus;Haemagogus;janthinomys;adult;female ;1;07/07/2021;DUCKE;negative 
C584;Haemagogus;Haemagogus;janthinomys;adult;female ;1;07/07/2021;DUCKE;negative 
C588;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/07/2021;DUCKE;negative 
C590;Haemagogus;Haemagogus;janthinomys;adult;female ;2;08/07/2021;DUCKE;negative 
C592;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/07/2021;DUCKE;negative 
C594;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/07/2021;DUCKE;negative 
C595;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/07/2021;DUCKE;negative 
C599;Haemagogus;Haemagogus;janthinomys;adult;female ;2;08/07/2021;DUCKE;negative 
C600;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/07/2021;DUCKE;negative 
C603;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/07/2021;DUCKE;negative 
C626;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/07/2021;DUCKE;negative 
C634;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/07/2021;DUCKE;negative 
C637;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/07/2021;DUCKE;negative 
C638;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;15/07/2021;DUCKE;negative 
C639;Haemagogus;Haemagogus;janthinomys;adult;female ;2;15/07/2021;DUCKE;negative 
C642;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;15/07/2021;DUCKE;negative 
C643;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/07/2021;DUCKE;negative 
C644;Haemagogus;Haemagogus;janthinomys;adult;female ;4;15/07/2021;DUCKE;negative 
C647;Haemagogus;Haemagogus;janthinomys;adult;female ;2;15/07/2021;DUCKE;negative 
C648;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;15/07/2021;DUCKE;negative 
C651;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/07/2021;DUCKE;negative 
C653;Haemagogus;Haemagogus;baresi;adult;female ;1;15/07/2021;DUCKE;negative 
C656;Haemagogus;Haemagogus;janthinomys;adult;female ;2;15/07/2021;DUCKE;negative 
C661;Haemagogus;Haemagogus;baresi;adult;female ;3;15/07/2021;DUCKE;negative 
C664;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/07/2021;DUCKE;negative 
C673;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/07/2021;DUCKE;negative 
C674;Haemagogus;Haemagogus;janthinomys;adult;female ;3;22/07/2021;DUCKE;negative 
C675;Haemagogus;Haemagogus;baresi;adult;female ;1;22/07/2021;DUCKE;negative 
C676;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;22/07/2021;DUCKE;negative 
C677;Haemagogus;Haemagogus;janthinomys;adult;female ;2;22/07/2021;DUCKE;negative 
C678;Haemagogus;Haemagogus;janthinomys;adult;female ;1;22/07/2021;DUCKE;negative 
C680;Haemagogus;Haemagogus;janthinomys;adult;female ;5;22/07/2021;DUCKE;negative 
C683;Haemagogus;Haemagogus;janthinomys;adult;female ;2;22/07/2021;DUCKE;negative 
C684;Haemagogus;Haemagogus;janthinomys;adult;female ;1;22/07/2021;DUCKE;negative 
C686;Haemagogus;Haemagogus;janthinomys;adult;female ;4;22/07/2021;DUCKE;negative 
C687;Haemagogus;Haemagogus;janthinomys;adult;female ;1;22/07/2021;DUCKE;negative 
C689;Haemagogus;Haemagogus;janthinomys;adult;female ;3;22/07/2021;DUCKE;negative 
C692;Haemagogus;Haemagogus;janthinomys;adult;female ;2;22/07/2021;DUCKE;negative 
C695;Haemagogus;Haemagogus;janthinomys;adult;female ;4;22/07/2021;DUCKE;negative 
C700;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/07/2021;DUCKE;negative 
C701;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/07/2021;DUCKE;negative 
C703;Haemagogus;Haemagogus;janthinomys;adult;female ;2;27/07/2021;DUCKE;negative 
C706;Haemagogus;Haemagogus;janthinomys;adult;female ;4;27/07/2021;DUCKE;negative 
C707;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/07/2021;DUCKE;negative 
C708;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/07/2021;DUCKE;negative 
C711;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/07/2021;DUCKE;negative 
C718;Haemagogus;Haemagogus;baresi;adult;female ;1;29/07/2021;DUCKE;negative 
C720;Haemagogus;Haemagogus;janthinomys;adult;female ;4;29/07/2021;DUCKE;negative 
C723;Haemagogus;Haemagogus;janthinomys;adult;female ;1;29/07/2021;DUCKE;negative 
C724;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;29/07/2021;DUCKE;negative 
C728;Haemagogus;Haemagogus;janthinomys;adult;female ;1;29/07/2021;DUCKE;negative 
C731;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/07/2021;DUCKE;negative 
C743;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/08/2021;DUCKE;negative 
C744;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/08/2021;DUCKE;negative 
C745;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/08/2021;DUCKE;negative 
C747;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;10/08/2021;DUCKE;negative 
C750;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/08/2021;DUCKE;negative 
C758;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/08/2021;DUCKE;negative 
C803;Haemagogus;Haemagogus;janthinomys;adult;female ;1;26/08/2021;DUCKE;negative 
C805;Haemagogus;Haemagogus;janthinomys;adult;female ;1;26/08/2021;DUCKE;negative 
C834;Haemagogus;Haemagogus;baresi;adult;female ;1;01/09/2021;DUCKE;negative 
C847;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;01/09/2021;DUCKE;negative 
C861;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/09/2021;DUCKE;negative 
C862;Haemagogus;Haemagogus;janthinomys;adult;female ;2;08/09/2021;DUCKE;negative 
C908;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/09/2021;DUCKE;negative 
C910;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/09/2021;DUCKE;negative 
C911;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/09/2021;DUCKE;negative 
C924;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/09/2021;DUCKE;negative 
C927;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/09/2021;DUCKE;negative 
C929;Haemagogus;Haemagogus;janthinomys;adult;female ;2;15/09/2021;DUCKE;negative 
C942;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/09/2021;DUCKE;negative 
C945;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/09/2021;DUCKE;negative 
C946;Haemagogus;Haemagogus;sp.;adult;female ;1;30/09/2021;DUCKE;negative 
C951;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/09/2021;DUCKE;negative 
C955;Haemagogus;Haemagogus;janthinomys;adult;female ;4;30/09/2021;DUCKE;negative 
C975;Haemagogus;Haemagogus;janthinomys;adult;female ;2;30/09/2021;DUCKE;negative 
C980;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;06/10/2021;DUCKE;negative 
C986;Haemagogus;Haemagogus;janthinomys;adult;female ;3;06/10/2021;DUCKE;negative 
C1024;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/10/2021;DUCKE;negative 
C1028;Haemagogus;Haemagogus;janthinomys;adult;female ;3;13/10/2021;DUCKE;negative 
C1034;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;13/10/2021;DUCKE;negative 
C1038;Haemagogus;Haemagogus;janthinomys;adult;female ;1;13/10/2021;DUCKE;negative 
C1062;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/10/2021;DUCKE;negative 
C1063;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/10/2021;DUCKE;negative 
C1066;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;15/10/2021;DUCKE;negative 
C1078;Haemagogus;Haemagogus;janthinomys;adult;female ;1;19/10/2021;DUCKE;negative 
C1082;Haemagogus;Haemagogus;janthinomys;adult;female ;4;20/10/2021;DUCKE;negative 
C1084;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/10/2021;DUCKE;negative 
C1092;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/10/2021;DUCKE;negative 
C1103;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/10/2021;DUCKE;negative 
C1113;Haemagogus;Haemagogus;janthinomys;adult;female ;3;22/10/2021;DUCKE;negative 
C1125;Haemagogus;Haemagogus;baresi;adult;female ;1;25/10/2021;DUCKE;negative 
C1147;Haemagogus;Haemagogus;janthinomys;adult;female ;1;03/11/2021;DUCKE;negative 
C1151;Haemagogus;Haemagogus;janthinomys;adult;female ;1;03/11/2021;DUCKE;negative 
C1178;Haemagogus;Haemagogus;janthinomys;adult;female ;1;04/11/2021;DUCKE;negative 
C1187;Haemagogus;Haemagogus;janthinomys;adult;female ;1;04/11/2021;DUCKE;negative 
C1204;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;05/11/2021;DUCKE;negative 
C1208;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;05/11/2021;DUCKE;negative 
C1209;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;05/11/2021;DUCKE;negative 
C1257;Haemagogus;Haemagogus;janthinomys;adult;female ;1;09/11/2021;DUCKE;negative 
C1258;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;09/11/2021;DUCKE;negative 
C1272;Haemagogus;Haemagogus;janthinomys;adult;female ;6;09/11/2021;DUCKE;negative 
C1289;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/11/2021;DUCKE;negative 
C1297;Haemagogus;Haemagogus;janthinomys;adult;female ;2;11/11/2021;DUCKE;negative 
C1313;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/11/2021;DUCKE;negative 
C1317;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/11/2021;DUCKE;negative 
C1368;Haemagogus;Haemagogus;janthinomys;adult;female ;1;24/11/2021;DUCKE;negative 
C1376;Haemagogus;Haemagogus;janthinomys;adult;female ;3;24/11/2021;DUCKE;negative 
C1388;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;30/11/2021;DUCKE;negative 
C1390;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;30/11/2021;DUCKE;negative 
C1437;Haemagogus;Haemagogus;janthinomys;adult;female ;6;01/12/2021;DUCKE;negative 
C1448;Haemagogus;Haemagogus;baresi;adult;female ;1;01/12/2021;DUCKE;negative 
C1454;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/12/2021;DUCKE;negative 
C1458;Haemagogus;Haemagogus;janthinomys;adult;female ;2;01/12/2021;DUCKE;negative 
C1464;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;02/12/2021;DUCKE;negative 
C1479;Haemagogus;Haemagogus;janthinomys;adult;female ;1;02/12/2021;DUCKE;negative 
C1494;Haemagogus;Haemagogus;janthinomys;adult;female ;1;07/12/2021;DUCKE;negative 
C1498;Haemagogus;Haemagogus;janthinomys;adult;female ;8;07/12/2021;DUCKE;negative 
C1512;Haemagogus;Haemagogus;janthinomys;adult;female ;1;07/12/2021;DUCKE;negative 
C1528;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;09/12/2021;DUCKE;negative 
C1556;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/12/2021;DUCKE;negative 
C1565;Haemagogus;Haemagogus;janthinomys;adult;female ;1;16/12/2021;DUCKE;negative 
C1582;Haemagogus;Haemagogus;janthinomys;adult;female ;1;04/01/2022;DUCKE;negative 
C1600;Haemagogus;Haemagogus;janthinomys;adult;female ;2;06/01/2022;DUCKE;negative 
C1609;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;06/01/2022;DUCKE;negative 
C1619;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;06/01/2022;DUCKE;negative 
C1630;Haemagogus;Haemagogus;janthinomys;adult;female ;3;11/01/2022;DUCKE;negative 
C1637;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;11/01/2022;DUCKE;negative 
C1644;Haemagogus;Haemagogus;baresi;adult;female ;1;11/01/2022;DUCKE;negative 
C1676;Haemagogus;Haemagogus;baresi;adult;female ;5;12/01/2022;DUCKE;negative 
C1693;Haemagogus;Haemagogus;janthinomys;adult;female ;2;12/01/2022;DUCKE;negative 
C1719;Haemagogus;Haemagogus;baresi;adult;female ;1;13/01/2022;DUCKE;negative 
C1726;Haemagogus;Haemagogus;baresi;adult;female ;1;13/01/2022;DUCKE;negative 
C1741;Haemagogus;Haemagogus;janthinomys;adult;female ;1;13/01/2022;DUCKE;negative 
C1788;Haemagogus;Haemagogus;janthinomys;adult;female ;1;19/01/2022;DUCKE;negative 
C1807;Haemagogus;Haemagogus;janthinomys;adult;female ;1;19/01/2022;DUCKE;negative 
C1836;Haemagogus;Haemagogus;baresi;adult;female ;1;25/01/2022;DUCKE;negative 
C1864;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;26/01/2022;DUCKE;negative 
C1908;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/02/2022;DUCKE;negative 
C1914;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/02/2022;DUCKE;negative 
